team,total_shots,total_goals,goal_rate,mean_xg
United States Women's,83,17,0.20481927710843373,0.13378994106024097
North Carolina Courage,59,12,0.2033898305084746,0.12371344246101694
Arsenal WFC,599,108,0.18030050083472454,0.1298274974390651
Norway Women's,54,9,0.16666666666666666,0.15814815242592592
Barcelona,3435,571,0.16622998544395926,0.14243101524189228
Australia Women's,57,9,0.15789473684210525,0.16546418649122807
Valencia,103,15,0.14563106796116504,0.14472772646601942
England Women's,55,8,0.14545454545454545,0.1541108176
Liverpool,90,13,0.14444444444444443,0.13553493598888888
Real Madrid,265,38,0.14339622641509434,0.11847210713396227
Germany Women's,64,9,0.140625,0.145795189375
Manchester City WFC,654,90,0.13761467889908258,0.11882926359541285
Brazil Women's,51,7,0.13725490196078433,0.13006175152941177
Arsenal,454,62,0.13656387665198239,0.12343095504625551
Atlético Madrid,133,18,0.13533834586466165,0.11862231064285714
Villarreal,90,12,0.13333333333333333,0.11346085693333333
France Women's,71,9,0.1267605633802817,0.0961497292112676
West Ham United LFC,354,44,0.12429378531073447,0.1048806489759887
Chelsea FCW,698,85,0.12177650429799428,0.11202665335028654
Real Betis,92,10,0.10869565217391304,0.09497778071739131
Manchester United,225,24,0.10666666666666667,0.10996857427777777
Reading WFC,488,52,0.10655737704918032,0.10202818278176229
Sweden Women's,67,7,0.1044776119402985,0.1025867847761194
Sevilla,127,12,0.09448818897637795,0.11328474682677166
Bristol City WFC,254,24,0.09448818897637795,0.08747507500984252
Deportivo La Coruna,66,6,0.09090909090909091,0.09773746774242424
Celta Vigo,97,8,0.08247422680412371,0.10809190977319587
Málaga,61,5,0.08196721311475409,0.0953635676885246
Real Sociedad,98,8,0.08163265306122448,0.09908575935714285
Canada Women's,50,4,0.08,0.10851403794
Everton LFC,396,31,0.07828282828282829,0.09466598309974747
Yeovil Town LFC,129,10,0.07751937984496124,0.09214835440310078
Birmingham City WFC,393,30,0.07633587786259542,0.07904399137913486
Tottenham Hotspur Women,184,14,0.07608695652173914,0.08960827931521739
Athletic Bilbao,106,8,0.07547169811320754,0.11118644185849057
Getafe,53,4,0.07547169811320754,0.08871085897169811
Chicago Red Stars,53,4,0.07547169811320754,0.12308779283018868
Liverpool WFC,334,25,0.0748502994011976,0.0918860587017964
Brighton & Hove Albion WFC,367,27,0.07356948228882834,0.09421978997438692
Bayern Munich,84,6,0.07142857142857142,0.13676901304761904
Espanyol,90,6,0.06666666666666667,0.08129656717777778
Eibar,79,4,0.05063291139240506,0.07305792022658228
Spain Women's,70,3,0.04285714285714286,0.09268009061428571
Levante,81,3,0.037037037037037035,0.08140887729012346
